,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
1041,Noodle Head,6.49,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
1042,Frog of Bogey Bog,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1043,Lemonade in Winter,4.78,3.0,40.0,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",,,"3.5, 4.5, 5.5, 6.5",5.0,40.0
1044,Runaway Baby Brother,7.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1045,Lukas und seine Geschichten,2.49,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
1046,Max und Maus im Blauhaus,1.99,2.0,,74.0,no reviews,Duits,0-12 maanden,,,0.5,0.5,74.0
1047,"Hello, Fall!",9.99,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
1048,"Pippa and Percival, Pancake and Poppy",12.99,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
1049,My Reading Neighborhood: First-Grade Sight Word Stories -  School for Ken,5.99,3.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1050,Benjamin Bear -  Benjamin Bear Says Please,7.99,3.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1051,Bobo Siebenschläfer: Abenteuer zum Vorlesen ab 2 Jahre 3 - Bobo Siebenschläfer ist wieder da,6.99,3.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
1052,Hamsters Holding Hands Read-Along,8.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
1053,Uh-Oh!,4.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
1054,Ten Pigs,13.35,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1055,Diwali Lights,7.99,3.0,24.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,24.0
1056,The Shiny Penny,9.8,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
1057,Flight 1-2-3,5.44,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1058,Topsy and Tim: Meet the Firefighters,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1059,Little Cloud,6.71,3.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
1060,The Twelve Days of Christmas,5.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1061,The Traveling Train,3.99,2.0,,26.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,26.0
1062,"All of Baby, Nose to Toes",5.99,2.0,32.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,32.0
1063,Little Gorilla (Read-Aloud),4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
1064,William Bee's Wonderful World of Trucks,6.6,2.0,48.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,48.0
1065,"You See, I See - You See, I See: On the Farm",6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
1066,Ladybird Stories for 4 Year Olds,4.99,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
1067,Swish and Squeak's Noisy Day,6.99,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
1068,Little Blue Truck,11.99,4.0,32.0,32.0,"5,0/5 (1 review)",Engels,vanaf 2 jaar,5.0,1.0,2.5,2.5,32.0
1069,An African Alphabet,7.99,4.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
1070,Benjamin Bear -  Benjamin Bear Says Sorry,7.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
1071,Mollie the Cat,2.99,2.0,,42.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,42.0
1072,Rooster's Day on the Farm,18.67,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
1073,Sassy - Baby Loves Shapes,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
1074,Monday...Super-Fun Day,7.58,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
1075,Train!,6.99,3.0,30.0,32.0,no reviews,Engels,"0-12 maanden, vanaf 2 jaar",,,"0.5, 2.5",1.5,30.0
1076,Der kleine Hase Munk & Weihnachten,4.99,2.0,,54.0,no reviews,Duits,"0-12 maanden, vanaf 2 jaar",,,"0.5, 2.5",1.5,54.0
