,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
707,Charlie Builds,6.99,3.0,20.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,20.0
708,Rappy the Raptor,11.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
709,Skippyjon Jones - Skippyjon Jones Shape Up,5.99,2.0,14.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,14.0
710,Jane Cabrera's Story Time -  Rock-a-bye Baby,11.99,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
711,Bright & Early Books(R) - Inside Outside Upside Down,6.99,3.0,30.0,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,30.0
712,Empowerment Series -  I Am So Brave!,6.99,3.0,12.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,12.0
713,Nancy Knows,11.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
714,A Bear Ate My Burger,2.99,2.0,,42.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,42.0
715,Topsy and Tim: Go Camping,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
716,Cassie's Word Quilt,5.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
717,Der liebste papa und ich,5.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
718,Ten Tiny Toes,6.99,2.0,22.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,22.0
719,Iza Trapani's Extended Nursery Rhymes -  Old MacDonald Had a . . . Zoo?,12.99,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
720,One Naked Baby,5.99,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
721,Snow Penguin,6.99,3.0,32.0,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
722,Henry Finds His Word,6.99,,,,no reviews,Engels,"vanaf 2 jaar, vanaf 3 jaar",,,"2.5, 3.5",3.0,
723,Say Hello!,6.99,2.0,30.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,30.0
724,How Many Quacks Till Christmas?,6.99,3.0,32.0,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
725,A Golden Classic -  Little Boy with a Big Horn,6.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
726,Ghost in the House,5.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
727,I Stink!,0.99,3.0,34.0,40.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,34.0
728,Ready For Series - Ready for Winter,5.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
729,Now,9.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
730,Topsy and Tim - Topsy and Tim Sports Day,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
731,Neues vom Kasperl,6.99,2.0,,280.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,280.0
732,Pipoletta auf der Suche nach der gelben Sonne,8.49,,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
733,Der Ballettschuh,1.99,2.0,,44.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,44.0
734,Momsi...,7.49,2.0,,54.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,54.0
735,The House As It Was,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
736,"1, 2, 3 to the Zoo",6.71,3.0,18.0,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,18.0
737,The Other Ducks,9.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
738,Topsy and Tim: Have Itchy Heads,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
739,Empowerment Series -  I Know a Lot!,5.99,3.0,12.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,12.0
740,Canada Concepts -  First Hockey Words,5.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
741,The Flying Diggers,2.49,3.0,32.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
742,"Seasonal Magic -  Abracadabra, It's Spring!",10.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
743,Abrahams Wurschtkessel,4.49,2.0,,50.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,50.0
744,Rain or Shine,3.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
745,If Kisses Were Colors board book,5.99,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
746,My First Bob Books: Pre-Reading Skills,8.99,3.0,,48.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,48.0
747,Puss in Boots: Ladybird First Favourite Tales,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
748,Mr. Tiffin's Classroom Series - How Many Seeds in a Pumpkin? (Mr. Tiffin's Classroom Series),7.99,2.0,40.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
749,Farmer Dale's Red Pickup Truck,4.99,3.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
750,Curious George - Curious George and the Rocket,4.99,3.0,20.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,20.0
751,Aubree's Backyard Adventures - Zippy's Quest,9.81,2.0,38.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,38.0
752,Today I'm a... -  Today I'm a Construction Worker,6.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
753,Ein Schwesterchen fur Liselotte,4.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
754,Spring Is Here,5.44,2.0,34.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,34.0
755,Rocket - Rocket's Mighty Words,6.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
756,The Very Hungry Caterpillar,6.71,5.0,40.0,48.0,"4,2/5 (9 reviews)",Engels,0-12 maanden,4.2,9.0,0.5,0.5,40.0
757,Big Chomp,3.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
758,Goldilocks And The Three Bears,11.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
759,Shapes,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
760,Little Vehicles 2 -  The Little School Bus,6.99,2.0,24.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
761,Curious Baby Curious George - Curious Baby: My Favorite Things (Read-aloud),5.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
762,The Goodnight Train - The Goodnight Train,10.99,3.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
763,Fall Mixed Up,9.81,2.0,40.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
764,"We Love You, Rosie!",12.29,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
765,Bus/ El Autobús/Bus,3.99,3.0,16.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,16.0
766,"Chicka Chicka Book, A - Chicka Chicka 1, 2, 3",8.94,3.0,36.0,,"5,0/5 (1 review)",Engels,"vanaf 1 jaar, vanaf 3 jaar",5.0,1.0,"1.5, 3.5",2.5,36.0
767,Anholt Family Favourites: Going to Nursery,3.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
768,PJ's Puppies 1 -  Puppies Learn Their ABC's,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
769,Every Color Soup,12.29,2.0,40.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
770,Rosie Goes to Preschool: Read & Listen Edition,7.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
771,Foreman Frankie Is Handy,3.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
772,Das kleine Kälbchen vom Brunnenhof,2.99,2.0,,62.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,62.0
773,The Train in My Backyard,14.74,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
774,ABC Passover Hunt,8.83,3.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
775,Bus,4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
776,My Reading Neighborhood: First-Grade Sight Word Stories -  Ana and the Rainy Day,4.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
777,Whizzy Wheels Academy - Whizzy Wheels Academy: Daisy the Digger,8.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
778,Animal Antics A to Z -  Walter Warthog's Wonderful Wagon,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
779,Plumps,3.49,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
780,Bright & Early Books(R) - Ten Eggs in a Nest,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
781,"Love You, Hug You, Read to You!",6.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
782,The Tale of Two Bad Mice,2.57,5.0,,36.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,36.0
783,Mommy Hugs,8.94,2.0,32.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,32.0
784,Teddy Bear Tears,11.17,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
785,Die schönsten Märchen von Hans Christian Andersen - Das Feuerzeug,0.99,5.0,40.0,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,40.0
786,Bart en Maartje,4.99,3.0,,145.0,no reviews,Nederlands,vanaf 3 jaar,,,3.5,3.5,145.0
787,C'est chouette d'etre amis!,4.99,2.0,,,no reviews,Frans,0-12 maanden,,,0.5,0.5,
788,Awesome Engines: Big Digger ABC,3.99,4.0,,,no reviews,Engels,"0-12 maanden, vanaf 3 jaar",,,"0.5, 3.5",2.0,
789,Donald el Camion,3.41,,,,no reviews,Spaans,vanaf 1 jaar,,,1.5,1.5,
790,Truck Duck,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
791,My Daddy Wears a Lot of Shoes,9.81,2.0,,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
792,One Big Pair of Underwear,8.94,2.0,36.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,36.0
793,Ball,7.99,3.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
794,Runaway Tomato,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
795,The Adventures of Super Cam 1 -  The Adventures Of Super Cam,2.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
796,LESESPASS mit MANNI und MIMMI,2.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
797,Beginner Books(R) - Fred and Ted's Road Trip,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
798,The Ugly Duckling: Ladybird First Favourite Tales,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
799,What Is Blue Blue Blue-What is Blue To You,9.81,2.0,28.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,28.0
800,Tractor Mac - Tractor Mac School Day,9.99,3.0,40.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,40.0
801,Rosie Goes to Preschool,5.99,2.0,34.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,34.0
802,If I Were A Kangaroo,7.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
803,Wo ist Ole?,5.99,,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
804,Where Do...Series - Where Do Diggers Sleep at Night?,5.99,3.0,26.0,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,26.0
805,Der Traum vom großen Paradies,2.99,,,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
806,The Tale of Two Bad Mice,1.99,5.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
807,Ant and Bee -  More Ant and Bee (Ant and Bee),6.6,2.0,112.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,112.0
808,The Fairytale Hairdresser - The Fairytale Hairdresser and the Princess and the Frog,6.49,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
809,Little Penguins,7.99,2.0,36.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,36.0
810,Disney Storybook with Audio (eBook) -  Disney It's A Small World: Guess Who!,4.99,,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
811,First Day at Bug School,6.99,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
812,"Hooray for Halloween, Curious George",4.99,3.0,24.0,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,24.0
813,On My Honor,8.99,4.0,,90.0,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,90.0
814,"Duck & Goose - Duck & Goose, Here Comes the Easter Bunny!",4.99,2.0,22.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,22.0
815,Boom! Boom! Boom!,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
816,Lines,11.17,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
817,The Letter Q,4.91,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
818,Checkers and Dot 4 - Checkers and Dot at the Beach,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
819,Lilli und das Geheimnis im Wald,0.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
820,Everybody Bonjours!,6.99,2.0,,40.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
821,Animal Antics A to Z -  Alexander Anteater's Amazing Act,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
822,Knock Knock 2 -  Knock Knock Pirate,3.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
823,Hooray for Babies!,9.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
824,Curious George -  Curious George's 1 to 10 and Back Again,4.99,3.0,24.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
825,Ten Fat Sausages,5.99,2.0,,28.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,28.0
826,Sassy - Baby's First Christmas,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
827,Comora's New Shoes (Reimagined),3.99,2.0,,58.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,58.0
828,Mini Rabbit -  Mini Rabbit Not Lost (Mini Rabbit),8.71,3.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
829,Llama Llama - Llama Llama Zippity-Zoom,5.99,2.0,14.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,14.0
830,The Huge Bag of Worries,2.99,3.0,28.0,32.0,no reviews,Engels,"0-12 maanden, vanaf 3 jaar",,,"0.5, 3.5",2.0,28.0
831,Checkers and Dot 1 - Checkers and Dot,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
832,Little Golden Book - Margaret Wise Brown's The Steam Roller,4.78,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
833,Jerry Pallotta's Counting Books - The Icky Bug Counting Book,6.99,2.0,30.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,30.0
834,One Yellow Ribbon,7.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
835,Sophia & the Dragon,3.99,,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
836,C Is for City,8.94,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
837,The Boy Who Wanted More,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
838,Ladybird Tales: Classic Stories to Share,9.49,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
839,Little Golden Book - I'm a Bulldozer,4.45,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
840,The Big Red Squirrel and the Little Rhinoceros,6.28,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
841,Gregs Tagebuch 7 - Gregs Tagebuch 7 - Dumm gelaufen!,9.04,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
842,My First Bob Books: Pre-Reading Skills,8.99,5.0,,48.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,48.0
843,FREDDY UND FRIEDA - Waschbär und Ferkel werden Freunde,2.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
844,Nest,10.05,2.0,34.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,34.0
845,First Time Books(R) - The Berenstain Bears' Dollars and Sense,4.99,2.0,,32.0,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",,,"3.5, 4.5, 5.5, 6.5",5.0,32.0
846,Farmyard Hullabaloo,3.99,3.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
847,Little Golden Book - Halloween ABC,4.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
848,Red Truck and Friends - Blue Boat,8.99,2.0,30.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,30.0
849,Beginner Books(R) - Fred and Ted Like to Fly,6.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
850,More Than Balloons,7.99,4.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
851,Max and Ruby - Max's ABC,7.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
852,Der Fluch des Bösen,9.49,2.0,,166.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,166.0
853,Baby! Talk!,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
854,Talk to the Animals - Hoot (Talk to the Animals) board book,7.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
855,Schneeflöckchens Reise,2.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
856,Sammy Spider's Passover Shapes,5.88,2.0,12.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,12.0
857,Truck Stop,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
858,Sie nannte sich Error,5.99,2.0,,,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,
859,Miss Loxie’s Dresses,3.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
860,Der kleine König - Der kleine König - Schlaf bei mir,1.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
861,A Wonderful Year,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
862,Seasons of Fun,2.75,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
863,MINKA - die Katze,2.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
864,Who Can? Read-Along,8.99,4.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
865,Tamara macht Ferien auf dem Lande,3.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
866,Mis Amiguitos Revoltosos,1.99,2.0,,,no reviews,Spaans,vanaf 3 jaar,,,3.5,3.5,
867,The Strongest Mum,7.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
868,"Steam Train, Dream Train 1-2-3",5.44,2.0,20.0,,no reviews,Engels,"vanaf 2 jaar, vanaf 3 jaar",,,"2.5, 3.5",3.0,20.0
869,Curious George - Jorge el curioso El puesto de limonada/CG Lemonade Stand (CGTV Reader),3.99,4.0,24.0,24.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
870,"Kiss, Tickle, Cuddle, Hug",7.99,4.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
871,"Almut, die Mut-mach-Maus",7.49,2.0,,158.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,158.0
872,A Musician's Recipes,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
873,Der kleine König - Der kleine König - Wintergeschichten,2.99,4.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
874,Little Golden Book -  The Poky Little Puppy's Wonderful Winter Day,4.99,2.0,24.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
875,Rumble Grumble . . . Hush,7.99,2.0,40.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
876,Peek a Little Boo,8.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
877,ABCs on Wings,8.94,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
878,Apple Farmer Annie Board Book,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
879,The Tale of Two Bad Mice,2.99,5.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
880,Einschlafen mit Laura 1 -  Lauras Stern Gutenacht-Geschichten,11.3,2.0,80.0,,no reviews,Duits,0-12 maanden,,,0.5,0.5,80.0
881,Big Girl Panties,8.99,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
882,Garcia & Colette Go Exploring,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
883,Baby Max and Ruby - Counting Peas,5.99,2.0,12.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,12.0
884,Wee William,6.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
885,Math Is Fun! -  Splitting the Herd,6.87,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
886,My World,10.01,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
887,The Adventures of Malex in San Francisco,9.81,3.0,46.0,46.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,46.0
888,10 Hungry Rabbits,12.29,3.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
889,Peek and Play Rhymes 1 - The Wheels on the Bus,3.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
890,One White Rabbit: A Counting Book,6.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
891,Little Golden Book - I Have a Secret: A First Counting Book,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
892,Der kleine Wassermann - Der kleine Wassermann: Herbst im Mühlenweiher,8.99,2.0,32.0,,no reviews,Duits,0-12 maanden,,,0.5,0.5,32.0
893,Liesl gets a sister,4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
894,Wie kleine Tiere schlafen gehen,4.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
895,My Dinosaur Friends,2.99,2.0,,36.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,36.0
896,ABC School's for Me!,16.69,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
897,8: An Animal Alphabet,18.66,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
898,Pup and Bear,7.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
899,First Time Books(R) - The Berenstain Bears and the Big Question,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
900,Duck & Goose - Duck & Goose Go to the Beach,7.99,3.0,40.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
901,Oggie the Otter,2.99,2.0,30.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,30.0
902,"And There Was Evening, And There Was Morning",7.85,3.0,,24.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
903,Heroes of the Surf,7.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
904,Rosa und Bleistift,7.99,3.0,40.0,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,40.0
905,Ladybird Tales: Pinocchio,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
906,Alphabet Book of Whimsical Creatures,13.72,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
907,Canada Concepts -  Hockey Opposites,5.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
908,The Tale of Two Bad Mice,0.99,5.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
909,Das kleine blaue Flugzeug entdeckt den Regenbogen,8.49,2.0,,62.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,62.0
910,The Bear Books -  Bear Counts,8.94,3.0,26.0,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,26.0
911,Disney Storybook with Audio (eBook) -  Disney It's A Small World: I Love You!,4.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
912,The Chicken Problem,4.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
913,Little Plane Learns to Write,9.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
914,3 Falafels in My Pita,5.88,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
915,Hamsters on the Go,7.99,4.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
916,Z Goes First,8.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
917,Count on the Subway,4.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
918,Die große Welt der kleinen unter uns,9.99,2.0,,60.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,60.0
919,"Ulff, die Backenhörnchen und eine irre Verfolgungsjagd",6.99,2.0,32.0,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,32.0
920,Ten Little Owls,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
921,Big Yellow Digger,1.99,3.0,32.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
922,I Can Only Draw Worms,6.49,3.0,32.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
923,Bambi,1.99,5.0,,122.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,122.0
924,Zirp,1.49,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
925,Der kleine Stern,6.99,2.0,,52.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,52.0
926,How I Wear My Amazing Hair,3.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
927,The Winter Adventure of Stanley the Cat,10.81,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
928,My Teacher Hilda -  The Water Balloon Fight,2.7,2.0,,36.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,36.0
929,All Aboard!,4.99,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
930,More Than Balloons Read-Along,8.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
